MuvBox;;;;;;
time;acc_y;acc_y-g;(acc_y-g)^2;média accy^2;rms;Velocidade
185.640131;0.936035156;-0.05708217;0.003258374;0.00123193;0.035098866;0
185.641181;0.969726563;-0.023390764;0.000547128;;;-0.000414456
185.642231;1.006347656;0.01323033;0.000175042;média acc_y;;-0.000466785
185.643281;1.001953125;0.008835799;7.80713E-05;0.993117326;;-0.000353138
185.644331;1.072753906;0.07963658;0.006341985;;;0.000102516
185.645381;1.053222656;0.06010533;0.003612651;;;0.000822222
185.646431;0.986816406;-0.00630092;3.97016E-05;;;0.001099328
185.647481;1.053222656;0.06010533;0.003612651;;;0.001376435
185.648531;1.062988281;0.069870955;0.00488195;;;0.002045845
185.649581;0.983398438;-0.009718889;9.44568E-05;;;0.002355643
185.65064;0.996582031;0.003464705;1.20042E-05;;;0.002323156
185.651684;1.039550781;0.046433455;0.002156066;;;0.002578676
185.652747;1.018554688;0.025437361;0.000647059;;;0.002953411
185.653792;0.998046875;0.004929549;2.43004E-05;;;0.003109064
185.654835;0.982421875;-0.010695451;0.000114393;;;0.003079566
185.655899;1.024414063;0.031296736;0.000979486;;;0.003187082
185.656946;1.012207031;0.019089705;0.000364417;;;0.003445844
185.657998;0.947753906;-0.04536342;0.00205784;;;0.00331027
185.659034;1.021972656;0.02885533;0.00083263;;;0.003226383
185.660081;1.015136719;0.022019392;0.000484854;;;0.003487652
185.661131;0.990234375;-0.002882951;8.31141E-06;;;0.003586209
185.662181;0.988769531;-0.004347795;1.89033E-05;;;0.003548969
185.663231;0.977050781;-0.016066545;0.000258134;;;0.00344383
185.664281;1.0703125;0.077195174;0.005959095;;;0.003758658
185.665331;1.012695313;0.019577986;0.000383298;;;0.004257064
185.666381;0.979003906;-0.01411342;0.000199189;;;0.004285207
185.667431;1.013671875;0.020554549;0.000422489;;;0.004318381
185.668481;1.024414063;0.031296736;0.000979486;;;0.004585428
185.66968;0.956542969;-0.036574358;0.001337684;;;0.00455439
185.670608;1.020019531;0.026902205;0.000723729;;;0.004510364
185.67164;0.993652344;0.000535017;2.86244E-07;;;0.00464925
185.672823;0.958984375;-0.034132951;0.001165058;;;0.004454294
185.673751;1.012695313;0.019577986;0.000383298;;;0.004388042
185.675323;1.016601563;0.023484236;0.000551509;;;0.00472008
185.675952;0.960449219;-0.032668108;0.001067205;;;0.004691746
185.676899;1.017578125;0.024460799;0.000598331;;;0.004653622
185.677946;0.99609375;0.002976424;8.8591E-06;;;0.004794527
185.678998;0.934082031;-0.059035295;0.003485166;;;0.00450526
185.680034;0.944335938;-0.048781389;0.002379624;;;0.003957381
185.681081;0.922851563;-0.070265764;0.004937278;;;0.00334601
185.682131;0.962890625;-0.030226701;0.000913653;;;0.002828449
185.68411;1.019042969;0.025925642;0.000672139;;;0.002786698
185.684402;0.930175781;-0.062941545;0.003961638;;;0.002733682
185.685285;1.025390625;0.032273299;0.001041566;;;0.002600854
185.686331;0.97265625;-0.020461076;0.000418656;;;0.002661459
185.687381;1.013671875;0.020554549;0.000422489;;;0.00266194
185.688431;0.982421875;-0.010695451;0.000114393;;;0.002712717
185.689481;0.974609375;-0.018507951;0.000342544;;;0.002562312
185.690547;0.967285156;-0.02583217;0.000667301;;;0.002330469
185.691721;0.965820313;-0.027297014;0.000745127;;;0.002024527
185.69264;1.038574219;0.045456892;0.002066329;;;0.002106386
185.693684;1.048339844;0.055222517;0.003049526;;;0.002621947
185.694747;1.011230469;0.018113142;0.000328086;;;0.00300432
185.695792;0.995117188;0.001999861;3.99944E-06;;;0.003107414
185.696835;1.029785156;0.03666783;0.00134453;;;0.003305234
185.697899;0.979003906;-0.01411342;0.000199189;;;0.003422944
185.698946;0.956054688;-0.037062639;0.001373639;;;0.003160128
185.699998;0.985839844;-0.007277483;5.29618E-05;;;0.00293133
185.701034;1.015136719;0.022019392;0.000484854;;;0.003006242
185.702081;0.999023438;0.005906111;3.48821E-05;;;0.003149655
185.703131;0.970703125;-0.022414201;0.000502396;;;0.003064634
185.704181;1.025390625;0.032273299;0.001041566;;;0.003115411
185.705231;1.083984375;0.090867049;0.008256821;;;0.003749614
185.706281;0.952148438;-0.040968889;0.00167845;;;0.004006602
185.707331;0.948242188;-0.044875139;0.002013778;;;0.003564484
185.708381;1.023925781;0.030808455;0.000949161;;;0.003492037
185.709431;0.997558594;0.004441267;1.97249E-05;;;0.003673582
185.710481;0.952148438;-0.040968889;0.00167845;;;0.003485456
185.711531;0.999023438;0.005906111;3.48821E-05;;;0.003304873
185.712581;0.955566406;-0.03755092;0.001410072;;;0.003141895
185.713647;1.018554688;0.025437361;0.000647059;;;0.003078556
185.714684;1.037109375;0.043992049;0.0019353;;;0.003431708
185.715747;0.964355469;-0.028761858;0.000827244;;;0.003511118
185.716792;1.018554688;0.025437361;0.000647059;;;0.003494078
185.717835;1.045898438;0.052781111;0.002785846;;;0.003894237
185.718899;0.990234375;-0.002882951;8.31141E-06;;;0.004154651
185.719946;0.978027344;-0.015089983;0.000227708;;;0.004062351
185.720998;0.994140625;0.001023299;1.04714E-06;;;0.003989766
185.722034;0.991699219;-0.001418108;2.01103E-06;;;0.00398776
185.723081;0.976074219;-0.017043108;0.000290468;;;0.003892951
185.724131;0.934570313;-0.058547014;0.003427753;;;0.003503643
185.725181;0.985839844;-0.007277483;5.29618E-05;;;0.003164631
185.726231;0.987792969;-0.005324358;2.83488E-05;;;0.003099728
185.727281;0.8828125;-0.110304826;0.012167155;;;0.002504209
185.728331;0.934570313;-0.058547014;0.003427753;;;0.00163458
185.729793;0.975585938;-0.017531389;0.00030735;;;0.001089013
185.730622;0.947753906;-0.04536342;0.00205784;;;0.000833267
185.731569;0.956542969;-0.036574358;0.001337684;;;0.000452664
185.732535;0.956542969;-0.036574358;0.001337684;;;0.000106068
185.733877;1.045898438;0.052781111;0.002785846;;;0.000212749
185.734648;1.020507813;0.027390486;0.000750239;;;0.000515939
185.735791;0.978515625;-0.014601701;0.00021321;;;0.000587638
185.736752;1.031738281;0.038620955;0.001491578;;;0.000700858
185.737792;1.022460938;0.029343611;0.000861048;;;0.001047558
185.738835;0.971191406;-0.02192592;0.000480746;;;0.001085507
185.739899;0.981933594;-0.011183733;0.000125076;;;0.00091271
185.740946;1.022949219;0.029831892;0.000889942;;;0.001008478
185.741998;1.016601563;0.023484236;0.000551509;;;0.001283593
185.743034;0.989746094;-0.003371233;1.13652E-05;;;0.001385799
185.744097;1.020507813;0.027390486;0.000750239;;;0.001511035
185.745135;1.067382813;0.074265486;0.005515362;;;0.002028605
185.746181;0.956542969;-0.036574358;0.001337684;;;0.002221985
185.747231;0.943359375;-0.049757951;0.002475854;;;0.001777352
185.748281;1;0.006882674;4.73712E-05;;;0.001556533
185.749331;1.009277344;0.016160017;0.000261146;;;0.001675209
185.750381;0.926757813;-0.066359514;0.004403585;;;0.001416669
185.751431;0.98828125;-0.004836076;2.33876E-05;;;0.001049994
185.752481;1.009277344;0.016160017;0.000261146;;;0.001108315
185.753531;0.978515625;-0.014601701;0.00021321;;;0.001116341
185.754581;1.010253906;0.01713658;0.000293662;;;0.001129396
185.75564;0.960449219;-0.032668108;0.001067205;;;0.001048719
185.756684;1.016601563;0.023484236;0.000551509;;;0.00100169
185.757747;0.980957031;-0.012160295;0.000147873;;;0.001060733
185.758792;0.954589844;-0.038527483;0.001484367;;;0.000800922
185.759835;1.026367188;0.033249861;0.001105553;;;0.000773922
185.760899;1.030273438;0.037156111;0.001380577;;;0.001141365
185.761946;0.998535156;0.00541783;2.93529E-05;;;0.001360005
185.762998;1.063476563;0.070359236;0.004950422;;;0.001751019
185.764034;1.02734375;0.034226424;0.001171448;;;0.00228248
185.765081;0.971191406;-0.02192592;0.000480746;;;0.002345649
185.766131;1.006835938;0.013718611;0.0001882;;;0.00230338
185.767181;0.953125;-0.039992326;0.001599386;;;0.002168063
185.768231;0.98046875;-0.012648576;0.000159986;;;0.00189695
185.769281;1.0078125;0.014695174;0.000215948;;;0.00190749
185.770331;1;0.006882674;4.73712E-05;;;0.002018621
185.771381;0.968261719;-0.024855608;0.000617801;;;0.001926056
185.772431;0.967773438;-0.025343889;0.000642313;;;0.001667516
185.773543;0.976074219;-0.017043108;0.000290468;;;0.001436322
185.77602;0.986328125;-0.006789201;4.60933E-05;;;0.001146767
185.776648;0.964355469;-0.028761858;0.000827244;;;0.001037258
185.777684;1.011230469;0.018113142;0.000328086;;;0.000983146
185.778747;1;0.006882674;4.73712E-05;;;0.001113474
185.779792;0.998535156;0.00541783;2.93529E-05;;;0.001176523
185.780835;0.974609375;-0.018507951;0.000342544;;;0.001109555
185.781899;1.006835938;0.013718611;0.0001882;;;0.00108456
185.782946;1.037597656;0.04448033;0.0019785;;;0.001383443
185.784589;1.075683594;0.082566267;0.006817188;;;0.002407301
185.785036;0.987304688;-0.005812639;3.37868E-05;;;0.002575586
185.786081;1.050292969;0.057175642;0.003269054;;;0.002838858
185.787131;1.01171875;0.018601424;0.000346013;;;0.003229129
185.788181;0.994140625;0.001023299;1.04714E-06;;;0.003330201
185.789231;1.018554688;0.025437361;0.000647059;;;0.00346648
185.790281;1.007324219;0.014206892;0.000201836;;;0.003670658
185.791331;0.979980469;-0.013136858;0.000172577;;;0.003676169
185.792381;1.030273438;0.037156111;0.001380577;;;0.003799874
185.793431;0.983398438;-0.009718889;9.44568E-05;;;0.003941183
185.794481;0.970214844;-0.022902483;0.000524524;;;0.003773174
185.795531;0.981933594;-0.011183733;0.000125076;;;0.003597622
185.796581;0.896484375;-0.096632951;0.009337927;;;0.003042339
185.79764;0.933105469;-0.060011858;0.003601423;;;0.002228664
185.798684;0.94140625;-0.051711076;0.002674035;;;0.001656551
185.799747;0.982421875;-0.010695451;0.000114393;;;0.001331162
185.800792;0.948242188;-0.044875139;0.002013778;;;0.001046323
185.801835;0.938476563;-0.054640764;0.002985613;;;0.000537208
185.802899;1.029785156;0.03666783;0.00134453;;;0.000443409
185.803946;1.045898438;0.052781111;0.002785846;;;0.000902777
185.804997;0.97265625;-0.020461076;0.000418656;;;0.001069392
185.806034;1.013671875;0.020554549;0.000422489;;;0.001069867
185.807081;1.05859375;0.065476424;0.004287162;;;0.001511682
185.808131;0.965820313;-0.027297014;0.000745127;;;0.001708316
185.809181;1.006347656;0.01323033;0.000175042;;;0.001635869
